node,pagerank
3437,0.0076145868447496
107,0.006936420955866117
1684,0.006367162138306824
0,0.006289602618466542
1912,0.003876971600884497
348,0.002348096972780577
686,0.0022193592598000185
3980,0.0021703235790099928
414,0.0018002990470702255
698,0.0013171153138368812
483,0.0012974283300616095
3830,0.00118443489776717
376,0.0009014073664792465
2047,0.0008410291545974013
56,0.0008039024292749443
25,0.0008004126605197682
828,0.0007886905420662137
322,0.0007867992190291398
475,0.0007853586142469625
428,0.0007800171933479686
